mode,game,runs,mean_total_score,std_total_score,min_total_score,max_total_score,mean_total1,mean_total2,mean_elapsed_sec
psbr,bos,10,1939.7,786.318150199608,884.0,3009.0,897.4,1042.3,417.72659368515014
psbr,deadlock,10,800.0,0.0,800.0,800.0,400.0,400.0,337.9642157077789
psbr,lemons,10,656.8,116.16731228897588,536.0,929.0,378.7,278.1,477.91915996074675
psbr,pd,10,2882.6,55.530171978844095,2774.0,2972.0,1449.8,1432.8,370.55005834102633
psbr,samaritan,10,167.2,14.81590736712103,136.0,187.0,345.4,-178.2,408.71762280464174
