mode,game,runs,mean_total_score,std_total_score,min_total_score,max_total_score,mean_total1,mean_total2,mean_elapsed_sec
psbr,bos,25,3188.52,140.36414546932323,2805.0,3349.0,1431.48,1757.04,495.800674161911
psbr,deadlock,25,399.76,0.43588989435407405,399.0,400.0,200.0,199.76,404.4701687049866
psbr,lemons,25,381.76,188.0215590475376,0.0,693.0,371.36,10.4,538.1206452465058
psbr,pd,25,2009.84,40.54183024975558,2000.0,2204.0,1007.52,1002.32,450.1789465808868
psbr,samaritan,25,9.92,12.328557633938097,-6.0,38.0,28.04,-18.12,464.04478642463687
