mode,game,run,seed,rounds,total1,total2,total_score,elapsed_sec
base,harmony,22,186,100,300.0,300.0,600.0,184.09602069854736
base,deadlock,22,187,100,100.0,100.0,200.0,184.16711974143982
base,bos,23,188,100,24.0,27.0,51.0,183.9347095489502
base,pd,23,189,100,500.0,500.0,1000.0,184.55378580093384
base,harmony,23,190,100,300.0,300.0,600.0,183.85843443870544
base,deadlock,23,191,100,100.0,100.0,200.0,183.8767991065979
base,bos,24,192,100,24.0,27.0,51.0,183.88009524345398
base,pd,24,193,100,500.0,500.0,1000.0,184.3018765449524
base,harmony,24,194,100,300.0,300.0,600.0,183.86994218826294
base,deadlock,24,195,100,100.0,100.0,200.0,184.23548531532288
base,bos,25,196,100,24.0,27.0,51.0,184.4003405570984
base,pd,25,197,100,500.0,500.0,1000.0,184.5478584766388
base,harmony,25,198,100,300.0,300.0,600.0,183.99994349479675
base,deadlock,25,199,100,100.0,100.0,200.0,184.09773135185242
