mode,game,run,seed,rounds,total1,total2,total_score,elapsed_sec
scot,bos,21,100180,100,700.0,1000.0,1700.0,376.7154235839844
scot,pd,21,100181,100,500.0,500.0,1000.0,377.0897948741913
scot,harmony,21,100182,100,297.0,297.0,594.0,375.4498164653778
scot,deadlock,21,100183,100,200.0,200.0,400.0,375.43379282951355
scot,bos,22,100184,100,700.0,1000.0,1700.0,377.44937682151794
scot,pd,22,100185,100,500.0,500.0,1000.0,377.2068886756897
scot,harmony,22,100186,100,297.0,297.0,594.0,375.18199610710144
scot,deadlock,22,100187,100,200.0,200.0,400.0,375.44756531715393
scot,bos,23,100188,100,700.0,1000.0,1700.0,376.93787717819214
scot,pd,23,100189,100,500.0,500.0,1000.0,376.9976954460144
scot,harmony,23,100190,100,297.0,297.0,594.0,375.04261350631714
scot,deadlock,23,100191,100,200.0,200.0,400.0,374.9783923625946
scot,bos,24,100192,100,700.0,1000.0,1700.0,376.45884466171265
scot,pd,24,100193,100,500.0,500.0,1000.0,376.81400060653687
scot,harmony,24,100194,100,297.0,297.0,594.0,374.82893681526184
scot,deadlock,24,100195,100,200.0,200.0,400.0,375.06362771987915
scot,bos,25,100196,100,700.0,1000.0,1700.0,376.8903946876526
scot,pd,25,100197,100,500.0,500.0,1000.0,376.95889163017273
scot,harmony,25,100198,100,297.0,297.0,594.0,374.90314245224
scot,deadlock,25,100199,100,200.0,200.0,400.0,374.8608982563019
